sha,date,message,change,file
'a140f1b,2026-05-19 08:52,"dev: icon notes",A,./~devEnv/examples/create-icon/FishingLure_Page__v1.svg
'a140f1b,2026-05-19 08:52,"dev: icon notes",A,./~devEnv/examples/create-icon/positioning-camera-for-techdraw-export.md
'a140f1b,2026-05-19 08:52,"dev: icon notes",A,./~devEnv/examples/create-icon/readme.md
'a140f1b,2026-05-19 08:52,"dev: icon notes",D,./~devEnv/examples/positioning-camera-for-techdraw-export.md
'a140f1b,2026-05-19 08:52,"dev: icon notes",D,./~devEnv/examples/too-small-icon.png
'7fbc8cd,2026-05-19 08:11,"dev: notes/todos",M,./~devEnv/merge-or-pr-todo.md
'28d8084,2026-05-18 18:14,"dev: oops point to the latest icon",M,./FishingLure.py
'36159f2,2026-05-18 18:11,"dev: stuff ain't workin with icon size",M,./FishingLure.py
'36159f2,2026-05-18 18:11,"dev: stuff ain't workin with icon size",A,./~devEnv/examples/too-small-icon.png
'36159f2,2026-05-18 18:11,"dev: stuff ain't workin with icon size",M,./~devEnv/merge-or-pr-todo.md
'626fc70,2026-05-18 17:55,"dev: icons",A,./~devEnv/examples/FishingLure_Page__v1-v6.svg
'29ff44a,2026-05-18 17:41,"dev: icons",M,./~devEnv/examples/FishingLure_Page__v1-v5.svg
'7467967,2026-05-18 17:38,"dev: icons",A,./~devEnv/examples/FishingLure_Page__v1-v5.svg
'6dac1e8,2026-05-18 17:27,"dev: icons",A,./~devEnv/examples/FishingLure_Page__v1-v4.svg
'e048dcf,2026-05-18 16:40,"dev: icons",A,./~devEnv/examples/FishingLure_Page__v1-v3.svg
'3c588a6,2026-05-18 16:31,"dev: example: icons",A,./~devEnv/examples/FishingLure_Page__v1-v2.svg
'c53570f,2026-05-18 15:30,"dev: icon: v1-v1",A,./~devEnv/examples/FishingLure_Page__v1-v1.svg
'259160e,2026-05-18 15:00,"dev: icon: breadcrumbs",A,./~devEnv/examples/FishingLure_Page__v1.svg
'259160e,2026-05-18 15:00,"dev: icon: breadcrumbs",M,./~devEnv/examples/positioning-camera-for-techdraw-export.md
'7da0b0f,2026-05-18 14:56,"dev: resettting camera view (or saving it) for techdraw svg export for icon",A,./~devEnv/examples/positioning-camera-for-techdraw-export.md
'5dffdb3,2026-05-18 14:41,"feat: kill debug trace line",M,./CurvedArray.py
'be28c8f,2026-05-18 14:34,"feat: examples: color eye black",M,./FishingLure.py
'3f0b1e2,2026-05-18 14:21,"feat: examples: fix eye revolve so that the revolve axis is stable, use a reference instead of a magic id",M,./FishingLure.py
'2494c24,2026-05-18 14:11,"examples: feat: eye revolve programmatic is working",M,./FishingLure.py
'997ab54,2026-05-18 13:55,"dev: eye sketch for revolve",A,./~devEnv/examples/generated-sketch-code/Eye_Revolve_Sketch.py
'7182f77,2026-05-18 13:47,"dev:e xamples: fishing lure add an eye so i can get a nice logo",A,./~devEnv/examples/FishingLure.FCStd
'6d12188,2026-05-18 13:40,"dev: examples: manual svg stuff to reference later for icon",A,./~devEnv/examples/FishingLure_Page__.svg
'006bb3a,2026-05-18 13:39,"dev: all manual tests pass",M,./~devEnv/TestingChecklist.md
'006bb3a,2026-05-18 13:39,"dev: all manual tests pass",A,./~devEnv/research.md
'3942ee4,2026-05-17 17:11,"feat: examples: cleanup some unnecessary code in script",M,./FishingLure.py
'275220a,2026-05-17 17:05,"feat: examples: added remaining curved arrays",M,./FishingLure.py
